"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested"
"GTF2H5",-0.9074,0.000126874203754051,0.00206498611157191,0.103,0.542,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"EVA1A",-0.907,0.000165010478454265,0.00254719714970846,0.069,0.469,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ADAMTSL4",-0.9069,0.0016847323116973,0.0142426528067999,0.034,0.327,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"VKORC1L1",-0.9063,0.00211635061632192,0.0164927219288348,0.069,0.381,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"HTATIP2",-0.9062,0.000378667810376093,0.00483899548644224,0.31,0.751,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"C9",-0.906,1.22586669285867e-05,0.000307671961809564,0.69,0.911,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CYP2C8",-0.9049,0.000118810896054153,0.00195822809150042,0.931,0.977,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"SHH",-0.9037,0.00961201241921254,0.0473947894532306,0.034,0.256,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DPYS",-0.9034,0.000115221393525064,0.00192329681759699,0.31,0.793,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"CHI3L1",-0.9027,0.00252170840564764,0.0186913598962523,0.483,0.802,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MAT1A",-0.9018,1.63466236590293e-05,0.000392393952328901,0.724,0.957,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"COA1",-0.9003,0.00599586489544019,0.0343286225359284,0.034,0.276,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MEGF6",0.9002,4.19464812969828e-05,0.000860807594616122,0.69,0.41,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ABCA6",-0.8998,0.00486842582063208,0.0295037316958514,0.034,0.285,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"LMO7",-0.8996,0.00102109642408383,0.00991353912287694,0.069,0.409,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"RPL15",0.8989,2.57917356344784e-10,2.47647986376561e-08,0.966,0.986,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"THNSL2",-0.8981,0.00261488458117861,0.0191306069127485,0.069,0.372,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"EIF4A2",0.8972,0.00304398252477208,0.0212672370522461,0.793,0.841,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"ABCG8",-0.8966,0.000123905318584123,0.00203259100987685,0.241,0.74,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"DAB2IP",-0.8964,0.00802581357237354,0.0419361781569952,0.034,0.264,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"MT2A",-0.8955,9.21696208813316e-12,1.58138893794101e-09,0.966,0.99,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
"XBP1",-0.8951,2.87078957576042e-05,0.000632540709471758,0.655,0.901,"HCC-1L_normalized","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,29,2762,TRUE,FALSE,2,2160
