"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"CD22",3.9345,4.33903635634781e-19,1.59945862797263e-16,0.268,0.023,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0777581366092666,5.90650683113343e-07,6.22866928941964,"Weakly structured"
"HHIP",-3.9185,0.000105791045148465,0.00132425131172633,0,0.275,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.125433648502597,4.73861624639344e-15,14.3243484609191,"Weakly structured"
"RIC3",3.8856,2.16394280214358e-08,6.78512751662323e-07,0.098,0.007,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0156947890818867,0.153249949202325,0.814599660764873,"Not structured"
"GPR3",3.8856,1.87359711689831e-06,3.792551885519e-05,0.073,0.006,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,-0.00804505229283983,0.687906222568584,0.16247076205065,"Not structured"
"LCNL1",3.8856,1.87359711689831e-06,3.792551885519e-05,0.073,0.006,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,-0.00831322070260116,0.693567235200389,0.158911431546518,"Not structured"
"LINC01857",3.8856,2.49401764810935e-10,1.11950764113203e-08,0.122,0.009,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0923100242522159,2.21974343116526e-09,8.65369722053518,"Weakly structured"
"MT1H",-3.8693,0.00329314916311006,0.0231225341622761,0,0.177,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.469959758984131,2.40695663923303e-188,187.618531733369,"Spatially structured"
"RAP1GAP",-3.8558,8.15337457048328e-05,0.00107310823950815,0,0.281,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.114429651726878,8.14075337064243e-13,12.0893354022886,"Weakly structured"
"RHBDL2",-3.8457,0.000103729926582584,0.00130483475985349,0,0.275,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.107258130553535,1.82145462036283e-11,10.7395816442802,"Weakly structured"
"SPIB",3.8215,5.84801225179951e-28,6.80123824884284e-25,0.39,0.033,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.121516784111643,1.82015158342166e-14,13.7398924421785,"Weakly structured"
"P4HA3",3.7861,1.19522893218414e-08,3.95105005928467e-07,0.122,0.012,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0789229588245905,2.84219387502013e-07,6.54634630079996,"Weakly structured"
"ITPKA",-3.7068,0.000269366278817078,0.00291540000415134,0,0.249,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.128620970137388,9.64971113700072e-16,15.0154856870173,"Weakly structured"
"CD19",3.6958,1.77080512247045e-20,9.43912913823521e-18,0.415,0.055,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.151298527664144,2.14137125175503e-21,20.6693080320931,"Weakly structured"
"HEPACAM2",-3.6956,0.000390129505773876,0.00394851801215601,0,0.239,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.223908675769964,4.5144898722775e-44,43.3453913169278,"Weakly structured"
"RSPO3",3.6632,9.80774199160771e-13,6.50105923827137e-11,0.195,0.019,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0880266594078759,1.45586169119104e-08,7.83687988162027,"Weakly structured"
"IL6",3.6377,2.62498851042519e-26,2.79845650115578e-23,0.805,0.205,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.411559472602132,3.89471524963404e-145,144.409524288963,"Spatially structured"
"FCRL3",3.6055,4.45393905543862e-17,9.04432418035337e-15,0.268,0.026,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0971127702085562,6.99016314226634e-10,9.15551268820865,"Weakly structured"
"CCR6",3.5861,4.84966775855546e-13,3.42772373675138e-11,0.22,0.024,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.108720713619603,5.17070194762377e-12,11.286450495342,"Weakly structured"
"TBX10",-3.5697,0.000531671756627488,0.00514110112058614,0,0.23,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.18786975014124,1.41484885629377e-31,30.8492899519302,"Weakly structured"
"RNF150",3.5637,7.22878583948361e-06,0.000127731847022809,0.073,0.007,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0182363099251575,0.114862498165853,0.93982174240061,"Not structured"
"SERPINB9P1",3.5637,2.15554827426623e-05,0.000335383272323885,0.073,0.007,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.045751633986926,0.00163943184063344,2.78530663440914,"Weakly structured"
"TMEM144",-3.4981,0.000574772193780083,0.00551617454990893,0,0.228,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0737795427599529,2.71669576459951e-06,5.56595899432178,"Weakly structured"
"SLC4A4",-3.4966,3.04576055589457e-07,7.35177637576588e-06,0.049,0.463,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.296106851757344,1.50890050102401e-75,74.8213393972562,"Weakly structured"
