"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","spatial_class"
"EVI2B",2.067,0.000807494025770142,0.0268357181230944,0.216,0.076,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0448222427826555,0.520935565273574,"Not structured"
"DECR2",-2.0611,0.000120261866134925,0.00648113948846055,0.135,0.463,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.186939328299594,0.0254244717714581,"Weakly structured"
"AMOTL2",2.0558,3.65351270417103e-05,0.00260182297575609,0.324,0.121,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.10611348409048,0.8935812524372,"Not structured"
"KLRB1",2.0215,0.000951352780831456,0.0305967329835149,0.216,0.077,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.111708465046617,0.179912153231411,"Not structured"
"AHCYL2",1.9974,0.00163748714114033,0.0453492966588031,0.162,0.05,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.121405014989523,0.898901532386062,"Not structured"
"ARHGAP30",1.956,0.000251368235124024,0.0113643855394349,0.216,0.067,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.142069370038302,0.931166666160602,"Not structured"
"AC018521.5",1.9477,0.00176403504251365,0.0475335929023273,0.189,0.065,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.00619866076128359,0.749180687669844,"Not structured"
"ITGA4",1.9455,0.000151509895991427,0.00755276831517263,0.297,0.113,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0395348737156195,0.891133151808677,"Not structured"
"TUBB2B",1.9258,0.00109602253899091,0.0340150808209787,0.135,0.035,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0205861952529474,0.891133151808677,"Not structured"
"STBD1",-1.9151,0.0014279642939754,0.0413806544810332,0.081,0.34,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.111570771751932,0.898901532386062,"Not structured"
"TRAF3IP3",1.9128,0.00172314157300941,0.0467475414500785,0.162,0.05,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0270365476788243,0.891133151808677,"Not structured"
"CXCR4",1.9085,6.98390010068252e-11,2.93176774752862e-08,0.703,0.29,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0916599219934585,0.891133151808677,"Not structured"
"CD38",1.886,4.04119032025815e-05,0.0027986991085279,0.297,0.102,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0418305311821986,0.891133151808677,"Not structured"
"BCL2L11",1.8621,0.00119829537452028,0.0360664298383916,0.189,0.062,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.143195037583559,0.0843248057904604,"Not structured"
"CCL4",1.86,2.05560209202782e-05,0.00169025590577462,0.405,0.165,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.176281290172624,0.046793739554952,"Weakly structured"
"EGR3",1.8558,0.000149645354865404,0.00750673805287083,0.243,0.078,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0169826038277715,0.710110635165696,"Not structured"
"CD3E",1.8417,0.000175772823857503,0.00854856123833809,0.297,0.112,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.036738532553153,0.56853583253868,"Not structured"
"CERT1",1.8207,0.000257964990453594,0.0115361046197059,0.324,0.136,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.100069733471975,0.8935812524372,"Not structured"
"GZMK",1.8141,0.0012092007783135,0.0361220427259494,0.243,0.094,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0278529945682117,0.625419148476001,"Not structured"
"MMP19",1.8135,0.000239977412973068,0.0110639297449317,0.27,0.098,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.00412142095861852,0.806067877585258,"Not structured"
"IGLC2",1.8124,5.82610748949949e-15,5.16322592624977e-12,1,0.956,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.25053218362618,0.00356158842298377,"Weakly structured"
"NEXN",1.7901,0.000893197916667581,0.0290781493197577,0.216,0.075,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.115542723973761,0.898447058254601,"Not structured"
"ACAP1",1.784,0.000921925263743116,0.0297703477879154,0.216,0.076,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0621128391595377,0.436068469445742,"Not structured"
"RGS1",1.7508,0.000351032191811165,0.014140569504474,0.324,0.139,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0834258318228106,0.891133151808677,"Not structured"
"LRRC14",1.7421,0.00111008667850014,0.0341855264390621,0.243,0.094,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.106557833296168,0.199133042676948,"Not structured"
