"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"C1R",0.4176,0.000119066985488591,0.00309137002025869,0.919,0.737,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.456472330646531,0,514.023227805672,"Spatially structured"
"ATP5MD",-0.4139,0.00331537288549359,0.0368306293908922,0.698,0.826,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.162587448484204,3.40827906175352e-67,66.4674648534541,"Weakly structured"
"TOMM7",-0.4038,0.00485644939912411,0.0483219410245811,0.767,0.823,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.125984635096359,3.52850968096227e-41,40.4524086866803,"Weakly structured"
"PLG",0.4013,0.000111661164738219,0.00293560804069835,0.942,0.703,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.559954097422031,0,772.68400187291,"Spatially structured"
"RPL8",-0.401,5.38891632813117e-05,0.00171927526269381,1,0.998,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.437650466712559,0,472.805549295667,"Spatially structured"
"FABP1",0.3995,2.86094851760179e-05,0.00108679675679237,0.977,0.974,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.496042940917033,0,606.999446854907,"Spatially structured"
"COX6C",-0.3988,0.00179618676252451,0.0242512263946268,0.802,0.851,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.1931388968189,6.05068565722602e-94,93.2181954087728,"Weakly structured"
"DUSP1",0.3974,9.03823262685317e-05,0.0025805017675076,0.953,0.794,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.462183265240914,0,526.936516382201,"Spatially structured"
"HSP90AA1",-0.3959,9.01209850797395e-05,0.0025805017675076,0.977,0.982,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.127489322549237,4.00573886486112e-42,41.3973173658878,"Weakly structured"
"A1BG",0.3953,0.00013488062197094,0.00338126758524106,0.895,0.722,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.605275153562787,0,902.470321702574,"Spatially structured"
"RBP4",0.3953,6.64453690825062e-06,0.000354573055848016,1,0.883,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.778996310448071,0,1493.74225591297,"Spatially structured"
"MT1E",0.3927,0.00175785597310553,0.023841420270637,0.895,0.763,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.520606758653273,0,668.163849247779,"Spatially structured"
"RPS15",-0.3906,1.20220100873941e-05,0.000541594575042654,1,0.996,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.390470757670098,0,376.700379235511,"Spatially structured"
"UQCR11",-0.3879,3.51703783409717e-05,0.00125618502719845,0.802,0.917,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0770903534682115,1.23458817489475e-16,15.9084778870988,"Weakly structured"
