"from"	"to"	"source"	"database"
"Wnt3"	"FZD1_LRP6"	"WNT"	"cellchat"
"Wnt3"	"FZD10_LRP6"	"WNT"	"cellchat"
"Wnt3"	"FZD2_LRP6"	"WNT"	"cellchat"
"Wnt3"	"FZD3_LRP6"	"WNT"	"cellchat"
"Wnt3"	"FZD4_LRP6"	"WNT"	"cellchat"
"Wnt3"	"FZD5_LRP6"	"WNT"	"cellchat"
"Wnt3"	"FZD6_LRP6"	"WNT"	"cellchat"
"Wnt3"	"FZD7_LRP6"	"WNT"	"cellchat"
"Wnt3"	"FZD8_LRP6"	"WNT"	"cellchat"
"Wnt3"	"FZD9_LRP6"	"WNT"	"cellchat"
"Wnt3a"	"FZD1_LRP6"	"WNT"	"cellchat"
"Wnt3a"	"FZD10_LRP6"	"WNT"	"cellchat"
"Wnt3a"	"FZD2_LRP6"	"WNT"	"cellchat"
"Wnt3a"	"FZD3_LRP6"	"WNT"	"cellchat"
"Wnt3a"	"FZD4_LRP6"	"WNT"	"cellchat"
"Wnt3a"	"FZD5_LRP6"	"WNT"	"cellchat"
"Wnt3a"	"FZD6_LRP6"	"WNT"	"cellchat"
"Wnt3a"	"FZD7_LRP6"	"WNT"	"cellchat"
"Wnt3a"	"FZD8_LRP6"	"WNT"	"cellchat"
"Wnt3a"	"FZD9_LRP6"	"WNT"	"cellchat"
"Wnt4"	"FZD1_LRP6"	"WNT"	"cellchat"
"Wnt4"	"FZD10_LRP6"	"WNT"	"cellchat"
"Wnt4"	"FZD2_LRP6"	"WNT"	"cellchat"
"Wnt4"	"FZD3_LRP6"	"WNT"	"cellchat"
"Wnt4"	"FZD4_LRP6"	"WNT"	"cellchat"
"Wnt4"	"FZD5_LRP6"	"WNT"	"cellchat"
"Wnt4"	"FZD6_LRP6"	"WNT"	"cellchat"
"Wnt4"	"FZD7_LRP6"	"WNT"	"cellchat"
"Wnt4"	"FZD8_LRP6"	"WNT"	"cellchat"
"Wnt4"	"FZD9_LRP6"	"WNT"	"cellchat"
"Wnt6"	"FZD1_LRP6"	"WNT"	"cellchat"
"Wnt6"	"FZD10_LRP6"	"WNT"	"cellchat"
"Wnt6"	"FZD2_LRP6"	"WNT"	"cellchat"
"Wnt6"	"FZD3_LRP6"	"WNT"	"cellchat"
"Wnt6"	"FZD4_LRP6"	"WNT"	"cellchat"
"Wnt6"	"FZD5_LRP6"	"WNT"	"cellchat"
"Wnt6"	"FZD6_LRP6"	"WNT"	"cellchat"
